url,라벨_기준,판정_기준,ACCS_기준,sufficiency_기준,라벨_최대,판정_최대,ACCS_최대,sufficiency_최대
https://prod.danawa.com/info/?pcode=94524119,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=100189472,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=122620046,정상,Normal,51.79,0.1219,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=106720964,정상,Normal,38.33,0.0,정상,Normal,38.33,0.0
https://prod.danawa.com/info/?pcode=90111164,정상,Normal,56.33,0.3072,정상,Normal,60.01,0.3788
https://prod.danawa.com/info/?pcode=98412731,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=78177962,정상,Credible,71.91,0.8186,정상,Credible,71.75,0.8261
https://prod.danawa.com/info/?pcode=108693719,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=77705138,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=104592128,정상,Credible,71.46,0.7734,정상,Credible,72.34,0.7849
https://prod.danawa.com/info/?pcode=96649010,정상,Credible,71.91,0.8186,정상,Credible,71.75,0.8261
https://prod.danawa.com/info/?pcode=103482035,정상,Credible,74.28,0.7942,정상,Credible,74.65,0.7942
https://prod.danawa.com/info/?pcode=16076870,정상,Normal,58.97,0.5544,정상,Normal,62.77,0.5713
https://prod.danawa.com/info/?pcode=109598768,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=100759103,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=122618392,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=61442057,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=100691504,정상,Credible,74.28,0.7942,정상,Credible,74.65,0.7942
https://prod.danawa.com/info/?pcode=122664613,정상,Normal,50.03,0.0903,정상,Normal,57.25,0.1349
https://prod.danawa.com/info/?pcode=122617959,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=81984779,정상,Normal,51.79,0.1219,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=40886363,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=92186624,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=67576652,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=108419639,정상,Normal,47.92,0.0888,정상,Normal,54.27,0.1307
https://prod.danawa.com/info/?pcode=98778002,정상,Normal,48.63,0.079,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=78843278,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=122620740,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=122632205,정상,Credible,71.08,0.7734,정상,Credible,71.97,0.7849
https://prod.danawa.com/info/?pcode=92186636,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=100006220,정상,Normal,45.97,0.0,정상,Normal,50.42,0.0
https://prod.danawa.com/info/?pcode=77460593,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=122650315,정상,Normal,51.79,0.1219,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=61442090,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=99477830,정상,Normal,48.44,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=65305406,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
